"created_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location_type","street_name","status","resolution_description"
"2026-03-22T22:45:22.000","DOT","Street Condition","Pothole","QUEENS","11101","40.74982069975371","-73.94128274836015",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:45:00.000","DOT","Street Light Condition","Street Light Out","QUEENS","11365","40.736096019737914","-73.78845340053961",,,"Open",
"2026-03-22T22:44:41.000","DOT","Street Condition","Defective Hardware","MANHATTAN","10003","40.725799292852585","-73.98848014069372","Street","EAST 4 STREET","In Progress",
"2026-03-22T22:44:25.000","DOT","Street Condition","Pothole","QUEENS","11101","40.7489827238065","-73.939681044523",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:44:23.000","DOT","Street Condition","Pothole","QUEENS","11385",,,,"CYPRESS HILLS STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:42:17.000","DOT","Street Condition","Pothole","QUEENS","11375","40.73565806083513","-73.84840457957304",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:40:57.000","DOT","Street Condition","Pothole","QUEENS","11375",,,,"110 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:37:06.000","DOT","Street Condition","Pothole","QUEENS","11420","40.68129301808039","-73.82555426000988",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:36:19.000","DOT","Street Condition","Pothole","BROOKLYN","11215",,,,"5 AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:35:59.000","DOT","Street Condition","Pothole","BROOKLYN","11220","40.639446181578194","-74.02695178144887",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:31:31.000","DSNY","Missed Collection","Recycling - Paper","BROOKLYN","11218","40.63547804607128","-73.97684014054938","Street","EAST 2 STREET","In Progress",
